number_of_dates,percentage,symbol
1,0.0,PSL
1,0.0,PTH
1,0.0,SPD
1,0.0,VQC
1,0.0,VTI
22,0.06,HIG
3,0.45,PX1
12,0.85,VIR
2,1.13,KST
23,1.14,SQC
23,1.48,AAM
8,1.52,IME
23,1.74,HAG
23,1.76,VNM
23,1.85,VSC
18,2.35,VKC
23,2.43,VTS
23,2.46,CPC
23,2.5,NNC
2,2.5,SSF
23,2.54,TLG
22,2.63,TMP
23,2.72,VBC
23,2.81,DXP
11,2.82,HDM
23,2.9,BMP
23,2.98,HRC
23,3.0,TYA
3,3.02,PCG
2,3.03,DNT
23,3.14,TTP
23,3.16,LSS
8,3.16,VTL
23,3.18,ONE
19,3.25,PMC
23,3.26,NBB
3,3.3,ADP
19,3.32,SMB
23,3.34,SSC
23,3.4,TC6
23,3.44,PHR
23,3.45,CSC
23,3.47,YBC
23,3.5,PLC
23,3.51,PIT
23,3.52,APC
23,3.54,CX8
11,3.55,EVE
23,3.55,PNC
23,3.61,MDC
23,3.62,SJD
19,3.69,TV3
23,3.73,SBA
23,3.74,VTB
23,3.8,ASP
23,3.81,PJT
23,3.83,CHP
14,3.87,TET
23,3.89,AGF
22,3.89,BT6
3,3.9,DPP
23,3.92,NTL
22,3.93,VTO
15,3.95,NET
23,3.98,GDT
14,3.98,LIX
23,4.0,AGR
23,4.01,CCI
23,4.05,DHC
23,4.09,IMP
23,4.09,OPC
23,4.09,VNA
23,4.14,BVH
23,4.14,THB
23,4.15,PDR
23,4.19,TMS
23,4.2,BCC
23,4.23,CII
6,4.29,MAS
23,4.32,KHP
8,4.32,VDN
19,4.35,NHC
23,4.36,DMC
23,4.37,VIP
23,4.4,SCJ
23,4.41,FPT
19,4.44,L62
23,4.44,VNS
22,4.45,CMV
23,4.46,SD5
23,4.49,DTT
23,4.49,L61
23,4.49,OGC
21,4.49,TV2
23,4.5,SHP
23,4.51,ACL
23,4.51,PVD
20,4.52,KSB
22,4.52,S55
2,4.53,STS
2,4.53,TCO
23,4.54,DPR
21,4.55,HVT
23,4.55,THT
22,4.55,VTC
23,4.56,ASM
23,4.56,SCL
23,4.6,BCE
23,4.6,BMI
21,4.6,DBT
23,4.61,HDG
22,4.61,VFG
20,4.62,BPC
23,4.62,TH1
23,4.63,KDC
23,4.65,NTP
20,4.74,ARM
23,4.74,HHC
21,4.75,INN
23,4.75,VNI
23,4.76,EID
23,4.76,TV4
23,4.79,PTL
23,4.79,VC6
