symbol,date,close,percentage,lowest,highest
RDP,2022-11-23,6.09,19.7,2.15,20.0
HBC,2022-11-23,7.44,19.74,0.73,34.0
IHK,2022-10-14,12.5,19.76,1.54,55.47
VW3,2022-11-23,9.9,19.76,5.76,20.95
TNH,2022-11-23,31.3,19.8,19.56,59.3
HD6,2022-11-23,14.5,19.82,5.59,44.96
CDR,2022-11-23,6.9,19.85,3.71,16.07
DTK,2022-11-22,9.1,19.95,5.58,17.64
IJC,2022-11-23,10.35,19.97,2.83,37.65
FGL,2021-12-03,12.5,20.0,10.0,12.5
HJC,2022-11-22,5.8,20.0,2.9,14.5
HU4,2022-11-23,8.0,20.02,1.34,33.26
KHP,2022-11-23,6.85,20.06,1.8,25.18
CDP,2022-11-23,11.6,20.09,5.5,30.37
IDI,2022-11-23,7.85,20.11,1.85,29.83
VDS,2022-11-23,7.0,20.21,1.23,28.55
VNF,2022-11-23,10.0,20.3,3.17,33.65
SAC,2022-11-23,8.1,20.53,4.47,17.68
PID,2022-11-18,4.5,20.65,1.3,15.5
SHS,2022-11-23,6.8,20.68,0.65,29.74
TTN,2022-11-23,7.9,20.78,2.42,26.37
NXT,2022-11-23,13.0,20.88,8.44,21.84
DS3,2022-11-23,5.1,21.0,1.94,15.05
TNA,2022-11-23,5.93,21.04,1.29,22.05
PSE,2022-11-23,10.4,21.15,4.52,27.8
TIG,2022-11-23,6.4,21.24,0.84,26.18
SCO,2022-09-30,4.6,21.25,1.2,16.0
NLG,2022-11-23,22.15,21.26,8.0,66.57
HAT,2022-11-23,21.5,21.31,6.89,68.56
VJC,2022-11-23,100.4,21.36,60.7,185.89
PX1,2017-06-19,10.0,21.38,6.6,15.9
KTT,2022-11-18,6.3,21.43,1.8,21.0
XPH,2022-11-18,9.0,21.43,3.6,25.2
CCL,2022-11-23,5.32,21.49,1.33,18.57
PWS,2022-10-18,13.0,21.49,5.02,37.13
ORS,2022-11-23,8.31,21.52,0.8,34.9
LPB,2022-11-23,9.82,21.6,3.89,27.45
NAW,2022-11-17,9.3,21.67,4.1,24.0
CX8,2022-11-17,5.2,21.7,1.66,16.31
BBT,2022-11-21,10.0,21.73,3.2,31.3
HMS,2022-11-23,24.7,21.76,13.7,50.55
KHA,2022-11-23,14.3,22.02,3.44,49.33
TTL,2022-11-23,9.0,22.02,3.34,25.7
EME,2022-10-19,29.0,22.06,6.94,100.0
BKH,2022-11-23,32.3,22.19,20.18,54.63
VE8,2022-11-23,4.4,22.19,0.96,15.5
C22,2022-11-22,12.1,22.21,7.27,21.75
DTT,2022-11-23,11.6,22.23,3.16,37.97
PAN,2022-11-23,13.1,22.31,2.68,46.7
AAM,2022-11-23,11.1,22.33,5.39,25.57
HU3,2022-11-23,4.9,22.33,2.27,11.78
BGW,2022-11-14,15.0,22.4,9.23,25.76
DFC,2022-11-18,23.8,22.42,9.3,64.66
PTE,2022-09-23,3.0,22.47,1.0,8.9
CPI,2022-11-18,3.4,22.52,0.9,11.1
MAC,2022-11-23,6.7,22.54,1.65,22.4
GLW,2022-11-15,6.3,22.55,4.0,10.2
PTS,2022-11-23,9.9,22.63,1.73,36.1
VHH,2022-10-13,7.0,22.64,1.0,26.5
M10,2022-11-21,17.5,22.66,11.86,24.89
PND,2022-10-27,10.8,22.66,2.1,38.4
HRC,2022-11-02,57.0,22.69,8.46,213.97
MBS,2022-11-23,10.9,22.71,2.8,35.67
CMV,2022-11-22,8.79,22.75,4.45,19.08
WTC,2022-11-21,11.8,22.8,0.49,49.6
SBT,2022-11-23,10.8,22.83,2.4,36.8
VIX,2022-11-23,6.44,23.01,0.5,25.81
ASM,2022-11-23,7.26,23.13,1.83,23.48
LM8,2022-11-23,9.0,23.13,3.21,25.03
NAV,2022-11-23,21.0,23.16,2.21,81.14
SBD,2022-11-22,10.4,23.16,4.92,23.66
KPF,2022-11-23,9.26,23.18,2.92,27.35
TED,2022-11-21,32.6,23.2,20.46,52.33
VCI,2022-11-23,19.2,23.22,4.79,62.05
HUT,2022-11-23,13.7,23.23,1.2,53.8
CCP,2022-11-11,15.0,23.4,5.5,40.6
KLB,2022-11-23,16.5,23.41,6.55,42.5
VIE,2022-11-22,6.0,23.41,1.2,20.5
LTG,2022-11-23,21.1,23.44,10.66,44.54
TPB,2022-11-23,20.0,23.48,9.67,44.0
DLR,2022-11-11,8.5,23.49,3.15,22.78
EBS,2022-11-23,7.9,23.55,1.75,26.12
HU1,2022-11-23,6.82,23.61,2.57,18.0
SAB,2022-11-23,182.0,23.68,107.11,316.2
NHT,2022-11-22,14.4,23.75,5.07,39.29
DNA,2022-11-23,15.7,23.81,9.68,25.28
BSP,2022-11-16,16.8,23.86,10.56,26.15
VOS,2022-11-23,7.33,23.89,1.0,26.5
TNW,2022-11-23,8.5,23.96,3.65,20.24
DC2,2022-11-23,5.6,23.97,1.13,18.65
DLD,2022-10-28,15.0,24.0,6.0,37.5
HCD,2022-11-23,5.45,24.09,1.68,15.65
PHP,2022-11-23,15.7,24.12,7.23,35.11
BHG,2021-12-14,13.5,24.15,10.24,13.5
TEG,2022-11-23,6.8,24.16,2.33,18.5
PSD,2022-11-23,15.5,24.26,4.34,46.0
CST,2022-11-23,13.7,24.33,7.46,25.65
ACL,2022-11-23,9.91,24.34,1.84,33.15
NDN,2022-11-23,6.7,24.34,0.81,24.2
CMD,2022-11-23,17.2,24.47,7.85,38.21
GIL,2022-11-23,22.1,24.49,1.6,83.71
BMF,2022-11-17,23.0,24.52,11.4,47.3
PVM,2022-11-23,10.5,24.76,3.29,29.12
VOC,2022-11-23,16.4,24.78,7.53,35.8
PHC,2022-11-23,5.64,24.85,0.78,19.56
CNT,2022-11-23,12.0,24.89,0.8,45.0
BSI,2022-11-23,15.0,24.91,1.9,52.59
DC1,2022-11-23,5.9,24.93,1.49,17.69
CRE,2022-11-23,10.45,24.96,3.87,26.36
HMG,2022-09-14,13.1,25.0,5.7,29.6
PEC,2022-11-08,8.0,25.0,3.9,16.4
USC,2022-09-30,9.15,25.08,4.32,19.26
NDP,2022-11-16,20.5,25.1,11.24,36.89
MGG,2022-11-23,28.0,25.14,11.53,65.52
KHS,2022-11-23,14.7,25.16,5.8,35.38
TVD,2022-11-23,7.7,25.18,1.98,22.72
BCP,2022-11-21,7.4,25.21,3.24,16.5
CTI,2022-11-23,11.3,25.26,2.98,32.94
SHA,2022-11-23,3.74,25.33,1.21,9.99
HLC,2022-11-23,7.9,25.46,2.25,22.19
SIG,2022-11-23,7.5,25.49,2.3,20.4
VNP,2022-11-23,10.0,25.56,2.0,31.3
MCP,2022-11-22,12.65,25.59,3.47,35.88
PVS,2022-11-23,19.1,25.61,4.92,55.37
BSR,2022-11-23,13.1,25.64,4.54,33.38
HNP,2022-10-17,19.0,25.64,10.17,34.44
TDN,2022-11-23,7.2,25.68,1.28,23.05
SDU,2022-11-01,31.5,25.7,3.9,107.38
HAH,2022-11-23,28.85,25.73,4.95,92.9
BXH,2022-11-11,9.0,25.76,1.95,27.37
SHB,2022-11-23,9.01,25.76,2.05,27.02
NDX,2022-11-23,5.7,25.78,2.05,14.16
KGM,2022-11-21,6.8,25.82,3.34,13.4
EIB,2022-11-23,19.45,25.83,8.5,42.4
FOX,2022-11-23,47.0,25.85,24.21,88.16
ANV,2022-11-23,18.3,25.95,1.43,65.0
MPC,2022-11-23,16.4,26.03,2.89,51.9
PJS,2022-11-22,11.7,26.03,4.17,28.93
LMI,2022-11-22,8.8,26.08,5.18,13.88
DBC,2022-11-23,11.5,26.09,1.46,38.48
ILS,2022-11-23,17.4,26.13,9.3,31.0
MIG,2022-11-23,13.5,26.21,5.75,29.57
COM,2022-11-23,27.8,26.22,7.09,79.0
IFS,2022-11-21,21.7,26.3,3.57,68.94
BMJ,2022-11-23,13.1,26.31,1.21,45.2
SHE,2022-11-23,9.4,26.31,5.34,15.43
TV2,2022-11-23,20.0,26.4,0.44,74.1
SGR,2022-11-23,12.9,26.47,1.66,42.47
DPC,2022-11-10,15.3,26.49,3.67,43.9
RAT,2022-11-16,9.1,26.49,3.46,21.29
D2D,2022-11-23,20.0,26.51,2.18,67.23
PVP,2022-11-23,8.2,26.71,2.74,20.44
HT1,2022-11-23,8.74,26.72,1.56,26.87
SIP,2022-11-23,69.9,26.76,16.99,197.7
CSV,2022-11-23,28.4,26.8,9.07,72.13
TQN,2020-12-03,25.64,26.89,11.47,52.7
MCH,2022-11-23,70.0,26.9,32.39,139.8
GTD,2022-11-22,13.9,26.97,4.3,35.6
TKU,2022-11-23,11.5,26.98,1.32,37.73
NAP,2022-11-10,11.6,27.01,7.14,16.51
NCS,2022-11-23,19.5,27.09,6.58,47.69
S72,2022-11-16,5.2,27.1,2.3,10.7
USD,2022-11-21,12.8,27.1,8.41,16.2
LHG,2022-11-23,18.9,27.14,2.77,59.43
TV1,2022-11-23,10.8,27.14,2.93,29.0
CT3,2022-11-10,5.5,27.17,0.9,16.93
TTT,2022-11-11,44.2,27.2,25.54,68.6
SMA,2022-11-23,7.39,27.21,1.82,20.47
VND,2022-11-23,10.6,27.23,0.73,36.25
PVH,2022-11-18,2.3,27.27,0.5,6.6
UMC,2022-05-04,9.7,27.31,6.6,11.35
HTM,2022-11-22,12.8,27.36,6.18,24.2
DTL,2022-11-23,22.7,27.42,5.59,62.4
TVS,2022-11-23,23.0,27.42,3.94,69.5
DOP,2022-11-23,10.5,27.47,5.39,18.6
HEM,2022-11-11,11.5,27.49,5.87,20.48
PPH,2022-11-23,19.0,27.53,8.18,39.3
TBT,2022-09-23,5.5,27.57,0.4,18.5
VMA,2019-01-09,5.8,27.57,3.25,9.25
BT1,2022-11-22,16.0,27.58,10.07,21.5
SKV,2022-11-23,25.6,27.58,13.26,44.75
SSC,2022-11-23,26.9,27.62,6.01,75.62
VXB,2022-11-11,17.1,27.62,3.15,50.5
GER,2022-11-11,7.9,27.65,0.85,25.5
TGP,2022-11-22,3.6,27.66,1.0,9.4
THP,2022-11-18,10.0,27.83,5.5,16.17
GTS,2022-10-27,10.8,27.87,3.64,25.69
NBP,2022-11-23,11.5,27.87,4.84,23.9
BPC,2022-11-23,7.3,27.88,2.46,17.36
CSC,2022-11-23,38.0,27.89,0.94,132.86
TSD,2022-11-18,6.5,28.0,3.0,12.5
