"timezone","abbreviation","dst","dst_offset","raw_offset","utc_offset"
"America/Detroit","EDT","true","3600","-18000","-04:00"
"America/Edmonton","MDT","true","3600","-25200","-06:00"
"America/Eirunepe","-05","false","0","-18000","-05:00"
"America/El_Salvador","CST","false","0","-21600","-06:00"
"America/Fort_Nelson","MST","false","0","-25200","-07:00"
"America/Fortaleza","-03","false","0","-10800","-03:00"
"America/Glace_Bay","ADT","true","3600","-14400","-03:00"
"America/Goose_Bay","ADT","true","3600","-14400","-03:00"
"America/Grand_Turk","EDT","true","3600","-18000","-04:00"
"America/Guatemala","CST","false","0","-21600","-06:00"
"America/Guayaquil","-05","false","0","-18000","-05:00"
"America/Guyana","-04","false","0","-14400","-04:00"
"America/Halifax","ADT","true","3600","-14400","-03:00"
"America/Havana","CDT","true","3600","-18000","-04:00"
"America/Hermosillo","MST","false","0","-25200","-07:00"
"America/Indiana/Indianapolis","EDT","true","3600","-18000","-04:00"
"America/Indiana/Knox","CDT","true","3600","-21600","-05:00"
"America/Indiana/Marengo","EDT","true","3600","-18000","-04:00"
"America/Indiana/Petersburg","EDT","true","3600","-18000","-04:00"
"America/Indiana/Tell_City","CDT","true","3600","-21600","-05:00"
"America/Indiana/Vevay","EDT","true","3600","-18000","-04:00"
"America/Indiana/Vincennes","EDT","true","3600","-18000","-04:00"
"America/Indiana/Winamac","EDT","true","3600","-18000","-04:00"
"America/Inuvik","MDT","true","3600","-25200","-06:00"
"America/Iqaluit","EDT","true","3600","-18000","-04:00"
"America/Jamaica","EST","false","0","-18000","-05:00"
"America/Juneau","AKDT","true","3600","-32400","-08:00"
"America/Kentucky/Louisville","EDT","true","3600","-18000","-04:00"
"America/Kentucky/Monticello","EDT","true","3600","-18000","-04:00"
"America/La_Paz","-04","false","0","-14400","-04:00"
"America/Lima","-05","false","0","-18000","-05:00"
"America/Los_Angeles","PDT","true","3600","-28800","-07:00"
"America/Maceio","-03","false","0","-10800","-03:00"
"America/Managua","CST","false","0","-21600","-06:00"
"America/Manaus","-04","false","0","-14400","-04:00"
"America/Martinique","AST","false","0","-14400","-04:00"
"America/Matamoros","CDT","true","3600","-21600","-05:00"
"America/Mazatlan","MDT","true","3600","-25200","-06:00"
"America/Menominee","CDT","true","3600","-21600","-05:00"
"America/Merida","CDT","true","3600","-21600","-05:00"
"America/Metlakatla","AKDT","true","3600","-32400","-08:00"
"America/Mexico_City","CDT","true","3600","-21600","-05:00"
"America/Miquelon","-02","true","3600","-10800","-02:00"
"America/Moncton","ADT","true","3600","-14400","-03:00"
"America/Monterrey","CDT","true","3600","-21600","-05:00"
"America/Montevideo","-03","false","0","-10800","-03:00"
"America/Nassau","EDT","true","3600","-18000","-04:00"
"America/New_York","EDT","true","3600","-18000","-04:00"
"America/Nipigon","EDT","true","3600","-18000","-04:00"
"America/Nome","AKDT","true","3600","-32400","-08:00"
"America/Noronha","-02","false","0","-7200","-02:00"
"America/North_Dakota/Beulah","CDT","true","3600","-21600","-05:00"
"America/North_Dakota/Center","CDT","true","3600","-21600","-05:00"
"America/North_Dakota/New_Salem","CDT","true","3600","-21600","-05:00"
"America/Nuuk","-02","true","3600","-10800","-02:00"
"America/Ojinaga","MDT","true","3600","-25200","-06:00"
"America/Panama","EST","false","0","-18000","-05:00"
"America/Pangnirtung","EDT","true","3600","-18000","-04:00"
"America/Paramaribo","-03","false","0","-10800","-03:00"
"America/Phoenix","MST","false","0","-25200","-07:00"
"America/Port-au-Prince","EDT","true","3600","-18000","-04:00"
"America/Port_of_Spain","AST","false","0","-14400","-04:00"
"America/Porto_Velho","-04","false","0","-14400","-04:00"
"America/Puerto_Rico","AST","false","0","-14400","-04:00"
"America/Punta_Arenas","-03","false","0","-10800","-03:00"
"America/Rainy_River","CDT","true","3600","-21600","-05:00"
"America/Rankin_Inlet","CDT","true","3600","-21600","-05:00"
"America/Recife","-03","false","0","-10800","-03:00"
"America/Regina","CST","false","0","-21600","-06:00"
"America/Resolute","CDT","true","3600","-21600","-05:00"
"America/Rio_Branco","-05","false","0","-18000","-05:00"
"America/Santarem","-03","false","0","-10800","-03:00"
"America/Santiago","-04","false","0","-14400","-04:00"
"America/Santo_Domingo","AST","false","0","-14400","-04:00"
"America/Sao_Paulo","-03","false","0","-10800","-03:00"
"America/Scoresbysund","+00","true","3600","-3600","+00:00"
"America/Sitka","AKDT","true","3600","-32400","-08:00"
"America/St_Johns","NDT","true","3600","-12600","-02:30"
"America/Swift_Current","CST","false","0","-21600","-06:00"
"America/Tegucigalpa","CST","false","0","-21600","-06:00"
"America/Thule","ADT","true","3600","-14400","-03:00"
"America/Thunder_Bay","EDT","true","3600","-18000","-04:00"
"America/Tijuana","PDT","true","3600","-28800","-07:00"
"America/Toronto","EDT","true","3600","-18000","-04:00"
"America/Vancouver","PDT","true","3600","-28800","-07:00"
"America/Whitehorse","MST","false","0","-25200","-07:00"
"America/Winnipeg","CDT","true","3600","-21600","-05:00"
"America/Yakutat","AKDT","true","3600","-32400","-08:00"
"America/Yellowknife","MDT","true","3600","-25200","-06:00"
"Antarctica/Casey","+11","false","0","39600","+11:00"
"Antarctica/Davis","+07","false","0","25200","+07:00"
"Antarctica/DumontDUrville","+10","false","0","36000","+10:00"
"Antarctica/Macquarie","AEST","false","0","36000","+10:00"
"Antarctica/Mawson","+05","false","0","18000","+05:00"
"Antarctica/Palmer","-03","false","0","-10800","-03:00"
"Antarctica/Rothera","-03","false","0","-10800","-03:00"
"Antarctica/Syowa","+03","false","0","10800","+03:00"
