symbol,close,timestamp,low,open,high,volume,date
IDI,3.84,1464048000,3.79,3.95,3.95,300120,2016-05-24
IDI,3.73,1464134400,3.73,3.9,3.9,316960,2016-05-25
IDI,3.84,1464220800,3.79,3.79,3.9,1236310,2016-05-26
IDI,4.07,1464307200,3.84,3.84,4.07,2010350,2016-05-27
IDI,4.07,1464566400,4.07,4.12,4.18,716060,2016-05-30
IDI,3.9,1464652800,3.9,4.01,4.12,1495450,2016-05-31
IDI,3.9,1464739200,3.84,3.9,4.01,760120,2016-06-01
IDI,3.95,1464825600,3.9,3.95,4.01,466440,2016-06-02
IDI,4.01,1464912000,3.95,3.95,4.01,576130,2016-06-03
IDI,3.9,1465171200,3.84,3.95,3.95,734030,2016-06-06
IDI,3.84,1465257600,3.84,3.95,3.95,491120,2016-06-07
IDI,3.84,1465344000,3.84,3.9,3.9,956930,2016-06-08
IDI,3.95,1465430400,3.84,3.9,4.07,1060560,2016-06-09
IDI,4.01,1465516800,4.01,4.01,4.12,1346530,2016-06-10
IDI,3.95,1465776000,3.9,3.95,3.95,371200,2016-06-13
IDI,3.9,1465862400,3.84,3.9,3.95,508940,2016-06-14
IDI,3.84,1465948800,3.84,3.9,3.95,525440,2016-06-15
IDI,3.84,1466035200,3.79,3.9,3.9,506030,2016-06-16
IDI,3.79,1466121600,3.73,3.84,3.84,786010,2016-06-17
IDI,3.68,1466380800,3.68,3.79,3.84,1181020,2016-06-20
IDI,3.56,1466467200,3.56,3.73,3.79,1179240,2016-06-21
IDI,3.51,1466553600,3.45,3.62,3.62,720840,2016-06-22
IDI,3.45,1466640000,3.4,3.51,3.56,1149980,2016-06-23
IDI,3.45,1466726400,3.29,3.4,3.56,1608930,2016-06-24
IDI,3.34,1466985600,3.29,3.34,3.4,497580,2016-06-27
IDI,3.34,1467072000,3.34,3.34,3.4,825550,2016-06-28
IDI,3.34,1467158400,3.34,3.4,3.45,962970,2016-06-29
IDI,3.34,1467244800,3.29,3.4,3.4,393120,2016-06-30
IDI,3.29,1467331200,3.23,3.29,3.34,672830,2016-07-01
IDI,3.29,1467590400,3.23,3.29,3.4,685080,2016-07-04
IDI,3.34,1467676800,3.29,3.34,3.4,252710,2016-07-05
IDI,3.29,1467763200,3.23,3.34,3.34,380530,2016-07-06
IDI,3.29,1467849600,3.29,3.29,3.4,689770,2016-07-07
IDI,3.34,1467936000,3.34,3.34,3.45,579610,2016-07-08
IDI,3.23,1468195200,3.23,3.34,3.4,466810,2016-07-11
IDI,3.17,1468281600,3.17,3.23,3.34,749580,2016-07-12
IDI,3.23,1468368000,3.17,3.17,3.29,719250,2016-07-13
IDI,3.17,1468454400,3.17,3.23,3.29,383020,2016-07-14
IDI,3.17,1468540800,3.12,3.17,3.29,400220,2016-07-15
IDI,3.34,1468800000,3.17,3.23,3.34,947780,2016-07-18
IDI,3.29,1468886400,3.29,3.4,3.4,643260,2016-07-19
IDI,3.23,1468972800,3.23,3.34,3.34,172320,2016-07-20
IDI,3.17,1469059200,3.17,3.29,3.29,547450,2016-07-21
IDI,3.23,1469145600,3.12,3.17,3.23,287410,2016-07-22
IDI,3.23,1469404800,3.23,3.29,3.29,354980,2016-07-25
IDI,3.34,1469491200,3.17,3.23,3.34,441940,2016-07-26
IDI,3.29,1469577600,3.29,3.34,3.4,506990,2016-07-27
IDI,3.29,1469664000,3.23,3.34,3.34,249330,2016-07-28
IDI,3.29,1469750400,3.23,3.29,3.29,204700,2016-07-29
IDI,3.23,1470009600,3.23,3.29,3.34,767040,2016-08-01
IDI,3.23,1470096000,3.23,3.29,3.29,411700,2016-08-02
IDI,3.17,1470182400,3.17,3.23,3.29,473230,2016-08-03
IDI,3.12,1470268800,3.12,3.17,3.29,481160,2016-08-04
IDI,2.95,1470355200,2.95,3.12,3.12,665040,2016-08-05
IDI,2.79,1470614400,2.79,2.84,2.9,394810,2016-08-08
IDI,2.73,1470700800,2.62,2.62,2.84,1769380,2016-08-09
IDI,2.9,1470787200,2.73,2.73,2.9,666040,2016-08-10
IDI,3.06,1470873600,3.01,3.06,3.06,1445970,2016-08-11
IDI,3.01,1470960000,2.95,3.06,3.12,769690,2016-08-12
IDI,2.9,1471219200,2.9,2.95,3.01,367980,2016-08-15
IDI,2.9,1471305600,2.84,2.9,2.95,565690,2016-08-16
IDI,3.06,1471392000,2.9,2.9,3.06,701870,2016-08-17
IDI,2.95,1471478400,2.95,3.06,3.12,1257690,2016-08-18
IDI,2.9,1471564800,2.9,2.95,3.06,941160,2016-08-19
IDI,2.95,1471824000,2.9,2.9,3.01,293460,2016-08-22
IDI,2.9,1471910400,2.84,2.9,2.95,191450,2016-08-23
IDI,2.9,1471996800,2.79,2.95,2.95,710650,2016-08-24
IDI,2.9,1472083200,2.84,2.84,2.9,173910,2016-08-25
IDI,2.9,1472169600,2.84,2.84,2.9,237010,2016-08-26
