open,close,volume,symbol,timestamp,low,date,high
7,6.8,6500,PSI,1390521600,6.7,2014-01-24,7
7,7,10200,PSI,1390780800,7,2014-01-27,7
7.7,7.1,3600,PSI,1391644800,7,2014-02-06,7.7
7.1,7,51900,PSI,1391731200,7,2014-02-07,7.2
7,6.9,155000,PSI,1391990400,6.7,2014-02-10,7
7,7.1,70900,PSI,1392076800,6.9,2014-02-11,7.2
6.9,6.8,17900,PSI,1392163200,6.8,2014-02-12,6.9
6.9,7,34200,PSI,1392249600,6.9,2014-02-13,7
7,7,539200,PSI,1392336000,6.8,2014-02-14,7
7,7,63800,PSI,1392595200,6.9,2014-02-17,7
7,7,85100,PSI,1392681600,7,2014-02-18,7
7.1,6.8,163600,PSI,1392768000,6.8,2014-02-19,7.2
6.8,7,343900,PSI,1392854400,6.8,2014-02-20,7.4
6.8,7,38000,PSI,1392940800,6.8,2014-02-21,7
7,7,133800,PSI,1393200000,6.8,2014-02-24,7
7,7.7,1009000,PSI,1393286400,6.9,2014-02-25,7.7
8,8.3,828200,PSI,1393372800,7.9,2014-02-26,8.4
8.5,8.1,114200,PSI,1393459200,8,2014-02-27,8.5
8,8,295000,PSI,1393545600,7.5,2014-02-28,8
7.9,7.4,286900,PSI,1393804800,7.3,2014-03-03,7.9
7.5,7.3,38500,PSI,1393891200,7.2,2014-03-04,7.5
7.5,7.9,121000,PSI,1393977600,7.4,2014-03-05,7.9
7.9,8,123200,PSI,1394064000,7.7,2014-03-06,8
8,8.2,386000,PSI,1394150400,7.8,2014-03-07,8.2
8.2,8.2,229000,PSI,1394409600,8,2014-03-10,8.4
8.2,8.4,190300,PSI,1394496000,8.2,2014-03-11,8.8
8.4,8,430900,PSI,1394582400,8,2014-03-12,8.4
8,8.1,92500,PSI,1394668800,7.9,2014-03-13,8.2
7.9,8.1,139500,PSI,1394755200,7.9,2014-03-14,8.5
8.1,8.6,346100,PSI,1395014400,8,2014-03-17,8.8
8.7,8.7,331600,PSI,1395100800,8.6,2014-03-18,8.8
8.8,9.2,504600,PSI,1395187200,8.7,2014-03-19,9.5
9.1,9.2,176100,PSI,1395273600,9,2014-03-20,9.3
9.1,9.8,155600,PSI,1395360000,8.9,2014-03-21,10.1
10.1,10,276000,PSI,1395619200,9.6,2014-03-24,10.1
9.9,9.8,634200,PSI,1395705600,9.5,2014-03-25,10.3
9.8,9.8,286200,PSI,1395792000,9,2014-03-26,9.9
9.5,9.8,93000,PSI,1395878400,9.2,2014-03-27,9.8
9.8,9.6,132900,PSI,1395964800,9.4,2014-03-28,9.9
9.6,9.6,121800,PSI,1396224000,9.4,2014-03-31,9.6
9.6,9.1,110400,PSI,1396310400,9,2014-04-01,9.6
9.1,8.3,175200,PSI,1396396800,8.2,2014-04-02,9.1
8.3,8.6,106400,PSI,1396483200,8.3,2014-04-03,8.7
8.5,8.6,57800,PSI,1396569600,8.3,2014-04-04,8.6
8.6,8.6,19700,PSI,1396828800,8.4,2014-04-07,8.6
8.4,9.1,266300,PSI,1396915200,8.2,2014-04-08,9.4
9,9.1,36200,PSI,1397088000,8.5,2014-04-10,9.4
8.5,8.9,370600,PSI,1397174400,8.5,2014-04-11,9
8.9,8.7,79800,PSI,1397433600,8.1,2014-04-14,9
8.3,8.2,44800,PSI,1397520000,8.2,2014-04-15,8.3
7.9,7.9,197600,PSI,1397606400,7.5,2014-04-16,8.1
7.5,8.2,35700,PSI,1397692800,7.5,2014-04-17,8.2
8,8.1,26000,PSI,1397779200,7.6,2014-04-18,8.1
8,8,12900,PSI,1398038400,7.7,2014-04-21,8.1
7.9,8,28500,PSI,1398124800,7.9,2014-04-22,8.2
8.1,7.8,56600,PSI,1398211200,7.8,2014-04-23,8.3
7.6,8.1,22600,PSI,1398297600,7.5,2014-04-24,8.1
7.6,8,210300,PSI,1398384000,7.5,2014-04-25,8
7.6,7.5,51100,PSI,1398643200,7.5,2014-04-28,7.9
7.3,7.6,9400,PSI,1398729600,7.3,2014-04-29,7.6
7.2,7.3,50200,PSI,1399248000,6.9,2014-05-05,7.3
7,7.2,74300,PSI,1399334400,6.7,2014-05-06,7.2
7,7.3,45200,PSI,1399420800,7,2014-05-07,7.3
6.6,6.6,20800,PSI,1399507200,6.6,2014-05-08,6.6
6.9,6.9,2000,PSI,1399593600,6.8,2014-05-09,6.9
6.3,6.3,446300,PSI,1399852800,6.3,2014-05-12,6.9
6,6.1,161500,PSI,1399939200,6,2014-05-13,6.1
5.9,6.2,110800,PSI,1400025600,5.7,2014-05-14,6.3
6.2,6.2,94400,PSI,1400112000,6,2014-05-15,6.5
6.2,6.4,27800,PSI,1400198400,6.2,2014-05-16,6.4
6.4,6.4,32300,PSI,1400457600,6.2,2014-05-19,6.4
6.4,6.4,21700,PSI,1400544000,6.2,2014-05-20,6.5
6.4,6.6,19100,PSI,1400630400,6.4,2014-05-21,6.6
6.6,6.6,49800,PSI,1400716800,6.6,2014-05-22,6.7
6.4,6.4,400,PSI,1400803200,6.4,2014-05-23,6.8
6.6,6.6,5100,PSI,1401062400,6.6,2014-05-26,6.6
6.6,6.9,59100,PSI,1401148800,6.6,2014-05-27,6.9
6.9,6.9,3700,PSI,1401235200,6.7,2014-05-28,6.9
6.5,6.3,274700,PSI,1401321600,6.3,2014-05-29,6.9
6.2,6.4,19100,PSI,1401408000,6.2,2014-05-30,6.4
6.8,6.8,24800,PSI,1401667200,6.7,2014-06-02,6.8
6.9,6.8,6100,PSI,1401753600,6.4,2014-06-03,7.2
6.7,6.7,300,PSI,1401926400,6.7,2014-06-05,6.7
6.7,6.8,37600,PSI,1402012800,6.2,2014-06-06,6.8
6.7,6.9,11100,PSI,1402272000,6.7,2014-06-09,7
6.8,6.8,100,PSI,1402358400,6.8,2014-06-10,6.8
6.2,6.5,4300,PSI,1402444800,6.2,2014-06-11,6.5
