"id","name","partyShort","stateAbbreviation","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"O000170","Beto O'Rourke","D","TX","O000170","Strategic Forces","member","minority",5
"N000188","Donald W. Norcross","D","NJ","N000188","Strategic Forces","member","minority",6
"T000463","Michael R. Turner","R","OH","T000463","Strategic Forces","member","majority",6
"H001050","Colleen Hanabusa","D","HI","H001050","Strategic Forces","member","minority",7
"C001077","Mike Coffman","R","CO","C001077","Strategic Forces","member","majority",7
"B001289","Bradley Byrne","R","AL","B001289","Strategic Forces","member","majority",8
"K000389","Ro Khanna","D","CA","K000389","Strategic Forces","member","minority",8
"G000546","Sam Graves","R","MO","G000546","Strategic Forces","member","majority",9
"H001071","Jody Hice","R","GA","H001071","Strategic Forces","member","majority",10
"L000559","Jim Langevin","D","RI","L000559","Intelligence and Special Operations","member","minority",1
"S001196","Elise Stefanik","R","NY","S001196","Intelligence and Special Operations","member","majority",1
"S001154","Bill Shuster","R","PA","S001154","Intelligence and Special Operations","member","majority",2
"L000560","Rick Larsen","D","WA","L000560","Intelligence and Special Operations","member","minority",2
"C000754","Jim Cooper","D","TN","C000754","Intelligence and Special Operations","member","minority",3
"W000815","Brad Wenstrup","R","OH","W000815","Intelligence and Special Operations","member","majority",3
"A000374","Ralph Abraham","R","LA","A000374","Intelligence and Special Operations","member","majority",4
"S001175","Jackie Speier","D","CA","S001175","Intelligence and Special Operations","member","minority",4
"C001109","Liz Cheney","R","WY","C001109","Intelligence and Special Operations","member","majority",5
"V000131","Marc Veasey","D","TX","V000131","Intelligence and Special Operations","member","minority",5
"W000795","Joe Wilson","R","SC","W000795","Intelligence and Special Operations","member","majority",6
"G000571","Tulsi Gabbard","D","HI","G000571","Intelligence and Special Operations","member","minority",6
"L000554","Frank A. LoBiondo","R","NJ","L000554","Intelligence and Special Operations","member","majority",7
"O000170","Beto O'Rourke","D","TX","O000170","Intelligence and Special Operations","member","minority",7
"L000564","Doug Lamborn","R","CO","L000564","Intelligence and Special Operations","member","majority",8
"M001202","Stephanie Murphy","D","FL","M001202","Intelligence and Special Operations","member","minority",8
"S001189","Austin Scott","R","GA","S001189","Intelligence and Special Operations","member","majority",9
"H001071","Jody Hice","R","GA","H001071","Intelligence and Special Operations","member","majority",10
"P000598","Jared Polis","D","CO","P000598","Early Childhood, Elementary, and Secondary Education","member","minority",1
"R000592","Todd Rokita","R","IN","R000592","Early Childhood, Elementary, and Secondary Education","member","majority",1
"H001048","Duncan D. Hunter","R","CA","H001048","Early Childhood, Elementary, and Secondary Education","member","majority",2
"G000551","Raúl M. Grijalva","D","AZ","G000551","Early Childhood, Elementary, and Secondary Education","member","minority",2
"R000582","Phil Roe","R","TN","R000582","Early Childhood, Elementary, and Secondary Education","member","majority",3
"F000455","Marcia L. Fudge","D","OH","F000455","Early Childhood, Elementary, and Secondary Education","member","minority",3
"T000467","Glenn Thompson","R","PA","T000467","Early Childhood, Elementary, and Secondary Education","member","majority",4
"B001278","Suzanne Bonamici","D","OR","B001278","Early Childhood, Elementary, and Secondary Education","member","minority",4
"D000598","Susan A. Davis","D","CA","D000598","Early Childhood, Elementary, and Secondary Education","member","minority",5
"M001189","Luke Messer","R","IN","M001189","Early Childhood, Elementary, and Secondary Education","member","majority",5
"W000808","Frederica Wilson","D","FL","W000808","Early Childhood, Elementary, and Secondary Education","member","minority",6
"B001290","David A. Brat","R","VA","B001290","Early Childhood, Elementary, and Secondary Education","member","majority",6
"G000580","Thomas Garrett","R","VA","G000580","Early Childhood, Elementary, and Secondary Education","member","majority",7
"H001078","Karen Handel","R","GA","H001078","Early Childhood, Elementary, and Secondary Education","member","majority",8
"W000798","Tim Walberg","R","MI","W000798","Health, Employment, Labor, and Pensions","member","majority",1
"S001177","Gregorio Kilili Camacho Sablan","D","MP","S001177","Health, Employment, Labor, and Pensions","member","minority",1
"W000808","Frederica Wilson","D","FL","W000808","Health, Employment, Labor, and Pensions","member","minority",2
"W000795","Joe Wilson","R","SC","W000795","Health, Employment, Labor, and Pensions","member","majority",2
"N000188","Donald W. Norcross","D","NJ","N000188","Health, Employment, Labor, and Pensions","member","minority",3
"R000582","Phil Roe","R","TN","R000582","Health, Employment, Labor, and Pensions","member","majority",3
"B001303","Lisa Blunt Rochester","D","DE","B001303","Health, Employment, Labor, and Pensions","member","minority",4
"R000592","Todd Rokita","R","IN","R000592","Health, Employment, Labor, and Pensions","member","majority",4
"S001170","Carol Shea-Porter","D","NH","S001170","Health, Employment, Labor, and Pensions","member","minority",5
"B001269","Lou Barletta","R","PA","B001269","Health, Employment, Labor, and Pensions","member","majority",5
"A000372","Rick Allen","R","GA","A000372","Health, Employment, Labor, and Pensions","member","majority",6
"E000297","Adriano Espaillat","D","NY","E000297","Health, Employment, Labor, and Pensions","member","minority",6
"L000587","Jason Lewis","R","MN","L000587","Health, Employment, Labor, and Pensions","member","majority",7
"C001069","Joe Courtney","D","CT","C001069","Health, Employment, Labor, and Pensions","member","minority",7
"F000455","Marcia L. Fudge","D","OH","F000455","Health, Employment, Labor, and Pensions","member","minority",8
"R000607","Francis Rooney","R","FL","R000607","Health, Employment, Labor, and Pensions","member","majority",8
"M001201","Paul Mitchell","R","MI","M001201","Health, Employment, Labor, and Pensions","member","majority",9
"B001278","Suzanne Bonamici","D","OR","B001278","Health, Employment, Labor, and Pensions","member","minority",9
"S001199","Lloyd Smucker","R","PA","S001199","Health, Employment, Labor, and Pensions","member","majority",10
"F000465","A. Drew Ferguson","R","GA","F000465","Health, Employment, Labor, and Pensions","member","majority",11
"E000298","Ron Estes","R","KS","E000298","Health, Employment, Labor, and Pensions","member","majority",12
"D000598","Susan A. Davis","D","CA","D000598","Higher Education and Workforce Investment","member","minority",1
"G000558","Brett Guthrie","R","KY","G000558","Higher Education and Workforce Investment","member","majority",1
"T000467","Glenn Thompson","R","PA","T000467","Higher Education and Workforce Investment","member","majority",2
"C001069","Joe Courtney","D","CT","C001069","Higher Education and Workforce Investment","member","minority",2
"B001269","Lou Barletta","R","PA","B001269","Higher Education and Workforce Investment","member","majority",3
"A000370","Alma Adams","D","NC","A000370","Higher Education and Workforce Investment","member","minority",3
"M001189","Luke Messer","R","IN","M001189","Higher Education and Workforce Investment","member","majority",4
"D000623","Mark DeSaulnier","D","CA","D000623","Higher Education and Workforce Investment","member","minority",4
"B001289","Bradley Byrne","R","AL","B001289","Higher Education and Workforce Investment","member","majority",5
"K000391","Raja Krishnamoorthi","D","IL","K000391","Higher Education and Workforce Investment","member","minority",5
"G000576","Glenn Grothman","R","WI","G000576","Higher Education and Workforce Investment","member","majority",6
"P000598","Jared Polis","D","CO","P000598","Higher Education and Workforce Investment","member","minority",6
"S001196","Elise Stefanik","R","NY","S001196","Higher Education and Workforce Investment","member","majority",7
"S001177","Gregorio Kilili Camacho Sablan","D","MP","S001177","Higher Education and Workforce Investment","member","minority",7
"T000472","Mark Takano","D","CA","T000472","Higher Education and Workforce Investment","member","minority",8
"A000372","Rick Allen","R","GA","A000372","Higher Education and Workforce Investment","member","majority",8
"L000587","Jason Lewis","R","MN","L000587","Higher Education and Workforce Investment","member","majority",9
"B001303","Lisa Blunt Rochester","D","DE","B001303","Higher Education and Workforce Investment","member","minority",9
"M001201","Paul Mitchell","R","MI","M001201","Higher Education and Workforce Investment","member","majority",10
"E000297","Adriano Espaillat","D","NY","E000297","Higher Education and Workforce Investment","member","minority",10
"G000580","Thomas Garrett","R","VA","G000580","Higher Education and Workforce Investment","member","majority",11
"S001199","Lloyd Smucker","R","PA","S001199","Higher Education and Workforce Investment","member","majority",12
"E000298","Ron Estes","R","KS","E000298","Higher Education and Workforce Investment","member","majority",13
"T000472","Mark Takano","D","CA","T000472","Workforce Protections","member","minority",1
"B001289","Bradley Byrne","R","AL","B001289","Workforce Protections","member","majority",1
"W000795","Joe Wilson","R","SC","W000795","Workforce Protections","member","majority",2
"G000551","Raúl M. Grijalva","D","AZ","G000551","Workforce Protections","member","minority",2
"H001048","Duncan D. Hunter","R","CA","H001048","Workforce Protections","member","majority",3
"A000370","Alma Adams","D","NC","A000370","Workforce Protections","member","minority",3
"B001290","David A. Brat","R","VA","B001290","Workforce Protections","member","majority",4
"D000623","Mark DeSaulnier","D","CA","D000623","Workforce Protections","member","minority",4
"N000188","Donald W. Norcross","D","NJ","N000188","Workforce Protections","member","minority",5
"G000576","Glenn Grothman","R","WI","G000576","Workforce Protections","member","majority",5
"K000391","Raja Krishnamoorthi","D","IL","K000391","Workforce Protections","member","minority",6
"S001196","Elise Stefanik","R","NY","S001196","Workforce Protections","member","majority",6
"S001170","Carol Shea-Porter","D","NH","S001170","Workforce Protections","member","minority",7
"R000607","Francis Rooney","R","FL","R000607","Workforce Protections","member","majority",7
"F000465","A. Drew Ferguson","R","GA","F000465","Workforce Protections","member","majority",8
"H001078","Karen Handel","R","GA","H001078","Workforce Protections","member","majority",9
"S001145","Jan Schakowsky","D","IL","S001145","Consumer Protection and Commerce","member","minority",1
"L000566","Robert E. Latta","R","OH","L000566","Consumer Protection and Commerce","member","majority",1
"L000570","Ben Ray Luján","D","NM","L000570","Consumer Protection and Commerce","member","minority",2
"K000378","Adam Kinzinger","R","IL","K000378","Consumer Protection and Commerce","member","majority",2
"U000031","Fred Upton","R","MI","U000031","Consumer Protection and Commerce","member","majority",3
"C001067","Yvette D. Clarke","D","NY","C001067","Consumer Protection and Commerce","member","minority",3
"C001097","Tony Cárdenas","D","CA","C001097","Consumer Protection and Commerce","member","minority",4
"B001248","Michael C. Burgess","R","TX","B001248","Consumer Protection and Commerce","member","majority",4
"L000567","Leonard Lance","R","NJ","L000567","Consumer Protection and Commerce","member","majority",5
"D000624","Debbie Dingell","D","MI","D000624","Consumer Protection and Commerce","member","minority",5
"M001163","Doris Matsui","D","CA","M001163","Consumer Protection and Commerce","member","minority",6
"G000558","Brett Guthrie","R","KY","G000558","Consumer Protection and Commerce","member","majority",6
"W000800","Peter Welch","D","VT","W000800","Consumer Protection and Commerce","member","minority",7
"M001180","David McKinley","R","WV","M001180","Consumer Protection and Commerce","member","majority",7
"K000379","Joseph P. Kennedy III","D","MA","K000379","Consumer Protection and Commerce","member","minority",8
"B001257","Gus Bilirakis","R","FL","B001257","Consumer Protection and Commerce","member","majority",8
"B001275","Larry Bucshon","R","IN","B001275","Consumer Protection and Commerce","member","majority",9
"G000410","Gene Green","D","TX","G000410","Consumer Protection and Commerce","member","minority",9
"M001190","Markwayne Mullin","R","OK","M001190","Consumer Protection and Commerce","member","majority",10
"W000820","Mimi Walters","R","CA","W000820","Consumer Protection and Commerce","member","majority",11
"C001106","Ryan Costello","R","PA","C001106","Consumer Protection and Commerce","member","majority",12
"D000615","Jeffrey Duncan","R","SC","D000615","Consumer Protection and Commerce","member","majority",13
"D000482","Mike Doyle","D","PA","D000482","Communications and Technology","member","minority",1
"B001243","Marsha Blackburn","R","TN","B001243","Communications and Technology","member","majority",1
"L000567","Leonard Lance","R","NJ","L000567","Communications and Technology","member","majority",2
"W000800","Peter Welch","D","VT","W000800","Communications and Technology","member","minority",2
"C001067","Yvette D. Clarke","D","NY","C001067","Communications and Technology","member","minority",3
"S000364","John Shimkus","R","IL","S000364","Communications and Technology","member","majority",3
"L000565","Dave Loebsack","D","IA","L000565","Communications and Technology","member","minority",4
"S001176","Steve Scalise","R","LA","S001176","Communications and Technology","member","majority",4
"R000599","Raul Ruiz","D","CA","R000599","Communications and Technology","member","minority",5
"L000566","Robert E. Latta","R","OH","L000566","Communications and Technology","member","majority",5
"D000624","Debbie Dingell","D","MI","D000624","Communications and Technology","member","minority",6
"G000558","Brett Guthrie","R","KY","G000558","Communications and Technology","member","majority",6
"R000515","Bobby L. Rush","D","IL","R000515","Communications and Technology","member","minority",7
"O000168","Pete Olson","R","TX","O000168","Communications and Technology","member","majority",7
"K000378","Adam Kinzinger","R","IL","K000378","Communications and Technology","member","majority",8
"E000215","Anna G. Eshoo","D","CA","E000215","Communications and Technology","member","minority",8
"E000179","Eliot L. Engel","D","NY","E000179","Communications and Technology","member","minority",9
"B001257","Gus Bilirakis","R","FL","B001257","Communications and Technology","member","majority",9
"J000292","Bill Johnson","R","OH","J000292","Communications and Technology","member","majority",10
"B001251","G. K. Butterfield","D","NC","B001251","Communications and Technology","member","minority",10
"L000576","Billy Long","R","MO","L000576","Communications and Technology","member","majority",11
"M001163","Doris Matsui","D","CA","M001163","Communications and Technology","member","minority",11
"F000461","Bill Flores","R","TX","F000461","Communications and Technology","member","majority",12
"M001166","Jerry McNerney","D","CA","M001166","Communications and Technology","member","minority",12
"B001284","Susan Brooks","R","IN","B001284","Communications and Technology","member","majority",13
"C001092","Chris Collins","R","NY","C001092","Communications and Technology","member","majority",14
"C001096","Kevin Cramer","R","ND","C001096","Communications and Technology","member","majority",15
"W000820","Mimi Walters","R","CA","W000820","Communications and Technology","member","majority",16
"C001106","Ryan Costello","R","PA","C001106","Communications and Technology","member","majority",17
"U000031","Fred Upton","R","MI","U000031","Energy","member","majority",1
"R000515","Bobby L. Rush","D","IL","R000515","Energy","member","minority",1
"M001166","Jerry McNerney","D","CA","M001166","Energy","member","minority",2
"O000168","Pete Olson","R","TX","O000168","Energy","member","majority",2
"P000608","Scott Peters","D","CA","P000608","Energy","member","minority",3
"B000213","Joe L. Barton","R","TX","B000213","Energy","member","majority",3
"S000364","John Shimkus","R","IL","S000364","Energy","member","majority",4
"G000410","Gene Green","D","TX","G000410","Energy","member","minority",4
"D000482","Mike Doyle","D","PA","D000482","Energy","member","minority",5
"L000566","Robert E. Latta","R","OH","L000566","Energy","member","majority",5
"H001045","Gregg Harper","R","MS","H001045","Energy","member","majority",6
"C001066","Kathy Castor","D","FL","C001066","Energy","member","minority",6
"S001168","John Sarbanes","D","MD","S001168","Energy","member","minority",7
"M001180","David McKinley","R","WV","M001180","Energy","member","majority",7
"W000800","Peter Welch","D","VT","W000800","Energy","member","minority",8
"K000378","Adam Kinzinger","R","IL","K000378","Energy","member","majority",8
"G000568","Morgan Griffith","R","VA","G000568","Energy","member","majority",9
"T000469","Paul Tonko","D","NY","T000469","Energy","member","minority",9
"L000565","Dave Loebsack","D","IA","L000565","Energy","member","minority",10
"J000292","Bill Johnson","R","OH","J000292","Energy","member","majority",10
"L000576","Billy Long","R","MO","L000576","Energy","member","majority",11
"S001180","Kurt Schrader","D","OR","S001180","Energy","member","minority",11
"K000379","Joseph P. Kennedy III","D","MA","K000379","Energy","member","minority",12
"B001275","Larry Bucshon","R","IN","B001275","Energy","member","majority",12
"F000461","Bill Flores","R","TX","F000461","Energy","member","majority",13
"B001251","G. K. Butterfield","D","NC","B001251","Energy","member","minority",13
"M001190","Markwayne Mullin","R","OK","M001190","Energy","member","majority",14
"H001067","Richard Hudson","R","NC","H001067","Energy","member","majority",15
"C001096","Kevin Cramer","R","ND","C001096","Energy","member","majority",16
"W000798","Tim Walberg","R","MI","W000798","Energy","member","majority",17
"D000615","Jeffrey Duncan","R","SC","D000615","Energy","member","majority",18
"B001248","Michael C. Burgess","R","TX","B001248","Health","member","majority",1
"G000410","Gene Green","D","TX","G000410","Health","member","minority",1
"E000179","Eliot L. Engel","D","NY","E000179","Health","member","minority",2
"G000558","Brett Guthrie","R","KY","G000558","Health","member","majority",2
"S001145","Jan Schakowsky","D","IL","S001145","Health","member","minority",3
"B000213","Joe L. Barton","R","TX","B000213","Health","member","majority",3
"U000031","Fred Upton","R","MI","U000031","Health","member","majority",4
"B001251","G. K. Butterfield","D","NC","B001251","Health","member","minority",4
"S000364","John Shimkus","R","IL","S000364","Health","member","majority",5
"M001163","Doris Matsui","D","CA","M001163","Health","member","minority",5
"B001243","Marsha Blackburn","R","TN","B001243","Health","member","majority",6
"C001066","Kathy Castor","D","FL","C001066","Health","member","minority",6
"S001168","John Sarbanes","D","MD","S001168","Health","member","minority",7
"L000566","Robert E. Latta","R","OH","L000566","Health","member","majority",7
"L000570","Ben Ray Luján","D","NM","L000570","Health","member","minority",8
"M001159","Cathy McMorris Rodgers","R","WA","M001159","Health","member","majority",8
"L000567","Leonard Lance","R","NJ","L000567","Health","member","majority",9
"S001180","Kurt Schrader","D","OR","S001180","Health","member","minority",9
"K000379","Joseph P. Kennedy III","D","MA","K000379","Health","member","minority",10
"G000568","Morgan Griffith","R","VA","G000568","Health","member","majority",10
"C001097","Tony Cárdenas","D","CA","C001097","Health","member","minority",11
"B001257","Gus Bilirakis","R","FL","B001257","Health","member","majority",11
"L000576","Billy Long","R","MO","L000576","Health","member","majority",12
"E000215","Anna G. Eshoo","D","CA","E000215","Health","member","minority",12
"D000197","Diana DeGette","D","CO","D000197","Health","member","minority",13
"B001275","Larry Bucshon","R","IN","B001275","Health","member","majority",13
"B001284","Susan Brooks","R","IN","B001284","Health","member","majority",14
"M001190","Markwayne Mullin","R","OK","M001190","Health","member","majority",15
"H001067","Richard Hudson","R","NC","H001067","Health","member","majority",16
"C001092","Chris Collins","R","NY","C001092","Health","member","majority",17
"C001103","Buddy Carter","R","GA","C001103","Health","member","majority",18
"D000197","Diana DeGette","D","CO","D000197","Oversight and Investigations","member","minority",1
"H001045","Gregg Harper","R","MS","H001045","Oversight and Investigations","member","majority",1
"G000568","Morgan Griffith","R","VA","G000568","Oversight and Investigations","member","majority",2
"S001145","Jan Schakowsky","D","IL","S001145","Oversight and Investigations","member","minority",2
"B000213","Joe L. Barton","R","TX","B000213","Oversight and Investigations","member","majority",3
"C001066","Kathy Castor","D","FL","C001066","Oversight and Investigations","member","minority",3
"T000469","Paul Tonko","D","NY","T000469","Oversight and Investigations","member","minority",4
"B001248","Michael C. Burgess","R","TX","B001248","Oversight and Investigations","member","majority",4
"C001067","Yvette D. Clarke","D","NY","C001067","Oversight and Investigations","member","minority",5
"B001284","Susan Brooks","R","IN","B001284","Oversight and Investigations","member","majority",5
"R000599","Raul Ruiz","D","CA","R000599","Oversight and Investigations","member","minority",6
"C001092","Chris Collins","R","NY","C001092","Oversight and Investigations","member","majority",6
"P000608","Scott Peters","D","CA","P000608","Oversight and Investigations","member","minority",7
"W000798","Tim Walberg","R","MI","W000798","Oversight and Investigations","member","majority",7
"W000820","Mimi Walters","R","CA","W000820","Oversight and Investigations","member","majority",8
"C001106","Ryan Costello","R","PA","C001106","Oversight and Investigations","member","majority",9
"C001103","Buddy Carter","R","GA","C001103","Oversight and Investigations","member","majority",10
"T000469","Paul Tonko","D","NY","T000469","Environment and Climate Change","member","minority",1
"S000364","John Shimkus","R","IL","S000364","Environment and Climate Change","member","majority",1
"R000599","Raul Ruiz","D","CA","R000599","Environment and Climate Change","member","minority",2
"M001180","David McKinley","R","WV","M001180","Environment and Climate Change","member","majority",2
"P000608","Scott Peters","D","CA","P000608","Environment and Climate Change","member","minority",3
"B000213","Joe L. Barton","R","TX","B000213","Environment and Climate Change","member","majority",3
"B001243","Marsha Blackburn","R","TN","B001243","Environment and Climate Change","member","majority",4
"G000410","Gene Green","D","TX","G000410","Environment and Climate Change","member","minority",4
"D000197","Diana DeGette","D","CO","D000197","Environment and Climate Change","member","minority",5
"H001045","Gregg Harper","R","MS","H001045","Environment and Climate Change","member","majority",5
"M001166","Jerry McNerney","D","CA","M001166","Environment and Climate Change","member","minority",6
"O000168","Pete Olson","R","TX","O000168","Environment and Climate Change","member","majority",6
"C001097","Tony Cárdenas","D","CA","C001097","Environment and Climate Change","member","minority",7
"J000292","Bill Johnson","R","OH","J000292","Environment and Climate Change","member","majority",7
"D000624","Debbie Dingell","D","MI","D000624","Environment and Climate Change","member","minority",8
"F000461","Bill Flores","R","TX","F000461","Environment and Climate Change","member","majority",8
"M001163","Doris Matsui","D","CA","M001163","Environment and Climate Change","member","minority",9
"H001067","Richard Hudson","R","NC","H001067","Environment and Climate Change","member","majority",9
"C001096","Kevin Cramer","R","ND","C001096","Environment and Climate Change","member","majority",10
"W000798","Tim Walberg","R","MI","W000798","Environment and Climate Change","member","majority",11
"C001103","Buddy Carter","R","GA","C001103","Environment and Climate Change","member","majority",12
"D000615","Jeffrey Duncan","R","SC","D000615","Environment and Climate Change","member","majority",13
"H001058","Bill Huizenga","R","MI","H001058","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",1
"M000087","Carolyn B. Maloney","D","NY","M000087","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",1
"S000344","Brad Sherman","D","CA","S000344","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",2
"H001059","Randy Hultgren","R","IL","H001059","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",2
"L000562","Stephen F. Lynch","D","MA","L000562","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",3
"K000210","Peter T. King","R","NY","K000210","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",3
"S001157","David Scott","D","GA","S001157","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",4
"M001156","Patrick T. McHenry","R","NC","M001156","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",4
"D000614","Sean Duffy","R","WI","D000614","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",5
"H001047","Jim Himes","D","CT","H001047","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",5
"E000288","Keith Ellison","D","MN","E000288","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",6
"S001187","Steve Stivers","R","OH","S001187","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",6
"F000454","Bill Foster","D","IL","F000454","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",7
"W000812","Ann Wagner","R","MO","W000812","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",7
"M001137","Gregory W. Meeks","D","NY","M001137","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",8
"M001189","Luke Messer","R","IN","M001189","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",8
"P000611","Bruce Poliquin","R","ME","P000611","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",9
"S001191","Kyrsten Sinema","D","AZ","S001191","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",9
"V000130","Juan Vargas","D","CA","V000130","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",10
"H001072","French Hill","R","AR","H001072","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",10
"G000583","Josh Gottheimer","D","NJ","G000583","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",11
"E000294","Tom Emmer","R","MN","E000294","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",11
"M001195","Alex Mooney","R","WV","M001195","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",12
"G000581","Vicente Gonzalez","D","TX","G000581","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",12
"M001193","Tom MacArthur","R","NJ","M001193","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",13
"W000187","Maxine Waters","D","CA","W000187","Investor Protection, Entrepreneurship, and Capital Markets","member","minority",13
"D000626","Warren Davidson","R","OH","D000626","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",14
"B001305","Ted Budd","R","NC","B001305","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",15
"H001074","Trey Hollingsworth","R","IN","H001074","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",16
"H001036","Jeb Hensarling","R","TX","H001036","Investor Protection, Entrepreneurship, and Capital Markets","member","majority",17
"C001049","William Lacy Clay","D","MO","C001049","Consumer Protection and Financial Institutions","member","minority",1
"L000569","Blaine Luetkemeyer","R","MO","L000569","Consumer Protection and Financial Institutions","member","majority",1
"R000598","Keith Rothfus","R","PA","R000598","Consumer Protection and Financial Institutions","member","majority",2
"M000087","Carolyn B. Maloney","D","NY","M000087","Consumer Protection and Financial Institutions","member","minority",2
"R000487","Edward Royce","R","CA","R000487","Consumer Protection and Financial Institutions","member","majority",3
"M001137","Gregory W. Meeks","D","NY","M001137","Consumer Protection and Financial Institutions","member","minority",3
"S001157","David Scott","D","GA","S001157","Consumer Protection and Financial Institutions","member","minority",4
"L000491","Frank D. Lucas","R","OK","L000491","Consumer Protection and Financial Institutions","member","majority",4
"V000081","Nydia M. Velázquez","D","NY","V000081","Consumer Protection and Financial Institutions","member","minority",5
"P000599","Bill Posey","R","FL","P000599","Consumer Protection and Financial Institutions","member","majority",5
"G000553","Al Green","D","TX","G000553","Consumer Protection and Financial Institutions","member","minority",6
"R000593","Dennis Ross","R","FL","R000593","Consumer Protection and Financial Institutions","member","majority",6
"E000288","Keith Ellison","D","MN","E000288","Consumer Protection and Financial Institutions","member","minority",7
"P000606","Robert Pittenger","R","NC","P000606","Consumer Protection and Financial Institutions","member","majority",7
"C001037","Michael E. Capuano","D","MA","C001037","Consumer Protection and Financial Institutions","member","minority",8
"B001282","Andy Barr","R","KY","B001282","Consumer Protection and Financial Institutions","member","majority",8
"H001064","Denny Heck","D","WA","H001064","Consumer Protection and Financial Institutions","member","minority",9
"T000470","Scott Tipton","R","CO","T000470","Consumer Protection and Financial Institutions","member","majority",9
"M001160","Gwen Moore","D","WI","M001160","Consumer Protection and Financial Institutions","member","minority",10
"W000816","Roger Williams","R","TX","W000816","Consumer Protection and Financial Institutions","member","majority",10
"L000584","Mia Love","R","UT","L000584","Consumer Protection and Financial Institutions","member","majority",11
"C001111","Charlie Crist","D","FL","C001111","Consumer Protection and Financial Institutions","member","minority",11
"W000187","Maxine Waters","D","CA","W000187","Consumer Protection and Financial Institutions","member","minority",12
"T000475","Dave Trott","R","MI","T000475","Consumer Protection and Financial Institutions","member","majority",12
"L000583","Barry Loudermilk","R","GA","L000583","Consumer Protection and Financial Institutions","member","majority",13
"K000392","David Kustoff","R","TN","K000392","Consumer Protection and Financial Institutions","member","majority",14
"T000478","Claudia Tenney","R","NY","T000478","Consumer Protection and Financial Institutions","member","majority",15
"H001036","Jeb Hensarling","R","TX","H001036","Consumer Protection and Financial Institutions","member","majority",16
"D000614","Sean Duffy","R","WI","D000614","Housing, Community Development, and Insurance","member","majority",1
"C001061","Emanuel Cleaver II","D","MO","C001061","Housing, Community Development, and Insurance","member","minority",1
"V000081","Nydia M. Velázquez","D","NY","V000081","Housing, Community Development, and Insurance","member","minority",2
"R000593","Dennis Ross","R","FL","R000593","Housing, Community Development, and Insurance","member","majority",2
"C001037","Michael E. Capuano","D","MA","C001037","Housing, Community Development, and Insurance","member","minority",3
"R000487","Edward Royce","R","CA","R000487","Housing, Community Development, and Insurance","member","majority",3
"P000588","Steve Pearce","R","NM","P000588","Housing, Community Development, and Insurance","member","majority",4
"C001049","William Lacy Clay","D","MO","C001049","Housing, Community Development, and Insurance","member","minority",4
"S000344","Brad Sherman","D","CA","S000344","Housing, Community Development, and Insurance","member","minority",5
"P000599","Bill Posey","R","FL","P000599","Housing, Community Development, and Insurance","member","majority",5
"L000569","Blaine Luetkemeyer","R","MO","L000569","Housing, Community Development, and Insurance","member","majority",6
"B001281","Joyce Beatty","D","OH","B001281","Housing, Community Development, and Insurance","member","minority",6
"K000380","Dan Kildee","D","MI","K000380","Housing, Community Development, and Insurance","member","minority",7
"S001187","Steve Stivers","R","OH","S001187","Housing, Community Development, and Insurance","member","majority",7
"D000620","John Delaney","D","MD","D000620","Housing, Community Development, and Insurance","member","minority",8
"H001059","Randy Hultgren","R","IL","H001059","Housing, Community Development, and Insurance","member","majority",8
"R000598","Keith Rothfus","R","PA","R000598","Housing, Community Development, and Insurance","member","majority",9
"K000390","Ruben Kihuen","D","NV","K000390","Housing, Community Development, and Insurance","member","minority",9
"Z000017","Lee Zeldin","R","NY","Z000017","Housing, Community Development, and Insurance","member","majority",10
"G000581","Vicente Gonzalez","D","TX","G000581","Housing, Community Development, and Insurance","member","minority",10
"W000187","Maxine Waters","D","CA","W000187","Housing, Community Development, and Insurance","member","minority",11
"T000475","Dave Trott","R","MI","T000475","Housing, Community Development, and Insurance","member","majority",11
